,AD,Full-flowering date (DOY),Full-flowering date,Source code,Data type code,Reference Name,trendline_degree1,trendline_degree2,trendline_degree3,trendline_degree4
937,1738,101,411,4,2,MYOHOIN-HINAMIKI,104.17259747696511,104.72913176472505,105.77487547540473,106.78756843588775
938,1739,110,420,4,2,MICHIE-KOKI,104.17108390805964,104.71987493258577,105.76476078370467,106.78846875610276
939,1740,115,424,4,2,MYOHOIN-HINAMIKI,104.16957033915419,104.71058692921804,105.75455671282286,106.78921512881351
940,1741,109,419,4,2,MYOHOIN-HINAMIKI,104.16805677024874,104.70126775462187,105.74426304793586,106.78980621797206
941,1742,109,419,4,2,MYOHOIN-HINAMIKI,104.16654320134329,104.69191740879727,105.73387957421994,106.79024068359337
942,1743,108,418,4,2,MYOHOIN-HINAMIKI,104.16502963243782,104.68253589174421,105.72340607685177,106.79051718175907
943,1744,98,407,4,1,MYOHOIN-HINAMIKI,104.16351606353237,104.67312320346274,105.71284234100769,106.79063436461928
944,1745,105,415,4,1,MICHIE-KOKI,104.16200249462692,104.66367934395282,105.70218815186423,106.79059088038872
945,1746,110,420,4,2,MICHIE-KOKI,104.16048892572147,104.65420431321445,105.69144329459776,106.79038537334719
946,1747,101,411,4,1,MICHIE-KOKI,104.15897535681601,104.64469811124766,105.68060755438489,106.79001648384252
947,1748,96,405,4,2,MYOHOIN-HINAMIKI,104.15746178791055,104.63516073805243,105.66968071640193,106.78948284828715
948,1749,100,410,4,1,MYOHOIN-HINAMIKI,104.1559482190051,104.62559219362876,105.6586625658255,106.78878309916087
949,1750,110,420,4,2,MYOHOIN-HINAMIKI,104.15443465009965,104.61599247797666,105.6475528878319,106.78791586500864
950,1751,103,413,4,2,NAKANOIN-MICHIEDAKI,104.1529210811942,104.60636159109612,105.63635146759772,106.78687977044132
951,1752,110,419,4,1,NAKANOIN-MICHIEDAKI,104.15140751228873,104.59669953298715,105.6250580902994,106.78567343613685
952,1753,96,406,4,1,NAKANOIN-MICHIEDAKI,104.14989394338328,104.58700630364973,105.61367254111332,106.78429547883906
953,1754,115,425,4,2,SADAYUKI-KYOKI,104.14838037447782,104.57728190308387,105.60219460521608,106.78274451135695
954,1755,120,430,4,1,SADAYUKI-KYOKI,104.14686680557237,104.56752633128957,105.59062406778402,106.78101914256689
955,1756,109,418,3,1,NORINAGA-ZAIKYO-NIKKI,104.1453532366669,104.55773958826684,105.57896071399372,106.77911797740984
956,1757,112,422,4,2,MYOHOIN-HINAMIKI,104.14383966776145,104.54792167401567,105.56720432902154,106.77703961689537
